Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Year,States,States Code,Count
Colon and Rectum,21041-21052,Male,M,2014,North Carolina,37,2220
Colon and Rectum,21041-21052,Male,M,2014,North Dakota,38,194
Colon and Rectum,21041-21052,Male,M,2014,Ohio,39,3047
Colon and Rectum,21041-21052,Male,M,2014,Oklahoma,40,949
Colon and Rectum,21041-21052,Male,M,2014,Oregon,41,884
Colon and Rectum,21041-21052,Male,M,2014,Pennsylvania,42,3490
Colon and Rectum,21041-21052,Male,M,2014,Rhode Island,44,249
Colon and Rectum,21041-21052,Male,M,2014,South Carolina,45,1157
Colon and Rectum,21041-21052,Male,M,2014,South Dakota,46,253
Colon and Rectum,21041-21052,Male,M,2014,Tennessee,47,1632
Colon and Rectum,21041-21052,Male,M,2014,Texas,48,5461
Colon and Rectum,21041-21052,Male,M,2014,Utah,49,382
Colon and Rectum,21041-21052,Male,M,2014,Vermont,50,131
Colon and Rectum,21041-21052,Male,M,2014,Virginia,51,1729
Colon and Rectum,21041-21052,Male,M,2014,Washington,53,1540
Colon and Rectum,21041-21052,Male,M,2014,West Virginia,54,597
Colon and Rectum,21041-21052,Male,M,2014,Wisconsin,55,1387
Colon and Rectum,21041-21052,Male,M,2014,Wyoming,56,104
Colon and Rectum,21041-21052,Male,M,2015,Alabama,1,1305
Colon and Rectum,21041-21052,Male,M,2015,Alaska,2,174
Colon and Rectum,21041-21052,Male,M,2015,Arizona,4,1437
Colon and Rectum,21041-21052,Male,M,2015,Arkansas,5,814
Colon and Rectum,21041-21052,Male,M,2015,California,6,7842
Colon and Rectum,21041-21052,Male,M,2015,Colorado,8,1047
Colon and Rectum,21041-21052,Male,M,2015,Connecticut,9,805
Colon and Rectum,21041-21052,Male,M,2015,Delaware,10,233
Colon and Rectum,21041-21052,Male,M,2015,District of Columbia,11,108
Colon and Rectum,21041-21052,Male,M,2015,Florida,12,5532
Colon and Rectum,21041-21052,Male,M,2015,Georgia,13,2422
Colon and Rectum,21041-21052,Male,M,2015,Hawaii,15,387
Colon and Rectum,21041-21052,Male,M,2015,Idaho,16,343
Colon and Rectum,21041-21052,Male,M,2015,Illinois,17,3353
Colon and Rectum,21041-21052,Male,M,2015,Indiana,18,1738
Colon and Rectum,21041-21052,Male,M,2015,Iowa,19,902
Colon and Rectum,21041-21052,Male,M,2015,Kansas,20,693
Colon and Rectum,21041-21052,Male,M,2015,Kentucky,21,1353
Colon and Rectum,21041-21052,Male,M,2015,Louisiana,22,1276
Colon and Rectum,21041-21052,Male,M,2015,Maine,23,345
Colon and Rectum,21041-21052,Male,M,2015,Maryland,24,1243
Colon and Rectum,21041-21052,Male,M,2015,Massachusetts,25,1419
Colon and Rectum,21041-21052,Male,M,2015,Michigan,26,2418
Colon and Rectum,21041-21052,Male,M,2015,Minnesota,27,1267
Colon and Rectum,21041-21052,Male,M,2015,Mississippi,28,898
Colon and Rectum,21041-21052,Male,M,2015,Missouri,29,1545
Colon and Rectum,21041-21052,Male,M,2015,Montana,30,297
Colon and Rectum,21041-21052,Male,M,2015,Nebraska,31,464
Colon and Rectum,21041-21052,Male,M,2015,Nevada,32,634
Colon and Rectum,21041-21052,Male,M,2015,New Hampshire,33,321
Colon and Rectum,21041-21052,Male,M,2015,New Jersey,34,2323
Colon and Rectum,21041-21052,Male,M,2015,New Mexico,35,427
Colon and Rectum,21041-21052,Male,M,2015,New York,36,4570
Colon and Rectum,21041-21052,Male,M,2015,North Carolina,37,2297
Colon and Rectum,21041-21052,Male,M,2015,North Dakota,38,214
Colon and Rectum,21041-21052,Male,M,2015,Ohio,39,3182
Colon and Rectum,21041-21052,Male,M,2015,Oklahoma,40,963
Colon and Rectum,21041-21052,Male,M,2015,Oregon,41,911
Colon and Rectum,21041-21052,Male,M,2015,Pennsylvania,42,3657
Colon and Rectum,21041-21052,Male,M,2015,Rhode Island,44,230
Colon and Rectum,21041-21052,Male,M,2015,South Carolina,45,1277
Colon and Rectum,21041-21052,Male,M,2015,South Dakota,46,220
Colon and Rectum,21041-21052,Male,M,2015,Tennessee,47,1682
Colon and Rectum,21041-21052,Male,M,2015,Texas,48,5829
Colon and Rectum,21041-21052,Male,M,2015,Utah,49,360
Colon and Rectum,21041-21052,Male,M,2015,Vermont,50,138
Colon and Rectum,21041-21052,Male,M,2015,Virginia,51,1681
Colon and Rectum,21041-21052,Male,M,2015,Washington,53,1476
Colon and Rectum,21041-21052,Male,M,2015,West Virginia,54,614
Colon and Rectum,21041-21052,Male,M,2015,Wisconsin,55,1316
Colon and Rectum,21041-21052,Male,M,2015,Wyoming,56,110
Colon and Rectum,21041-21052,Male,M,2016,Alabama,1,1300
Colon and Rectum,21041-21052,Male,M,2016,Alaska,2,137
Colon and Rectum,21041-21052,Male,M,2016,Arizona,4,1422
Colon and Rectum,21041-21052,Male,M,2016,Arkansas,5,736
Colon and Rectum,21041-21052,Male,M,2016,California,6,7692
Colon and Rectum,21041-21052,Male,M,2016,Colorado,8,979
Colon and Rectum,21041-21052,Male,M,2016,Connecticut,9,855
Colon and Rectum,21041-21052,Male,M,2016,Delaware,10,268
Colon and Rectum,21041-21052,Male,M,2016,District of Columbia,11,105
Colon and Rectum,21041-21052,Male,M,2016,Florida,12,5603
Colon and Rectum,21041-21052,Male,M,2016,Georgia,13,2446
Colon and Rectum,21041-21052,Male,M,2016,Hawaii,15,400
Colon and Rectum,21041-21052,Male,M,2016,Idaho,16,371
Colon and Rectum,21041-21052,Male,M,2016,Illinois,17,3350
Colon and Rectum,21041-21052,Male,M,2016,Indiana,18,1686
Colon and Rectum,21041-21052,Male,M,2016,Iowa,19,857
Colon and Rectum,21041-21052,Male,M,2016,Kansas,20,670
Colon and Rectum,21041-21052,Male,M,2016,Kentucky,21,1377
Colon and Rectum,21041-21052,Male,M,2016,Louisiana,22,1312
Colon and Rectum,21041-21052,Male,M,2016,Maine,23,371
Colon and Rectum,21041-21052,Male,M,2016,Maryland,24,1220
Colon and Rectum,21041-21052,Male,M,2016,Massachusetts,25,1432
Colon and Rectum,21041-21052,Male,M,2016,Michigan,26,2526
Colon and Rectum,21041-21052,Male,M,2016,Minnesota,27,1276
Colon and Rectum,21041-21052,Male,M,2016,Mississippi,28,887
Colon and Rectum,21041-21052,Male,M,2016,Missouri,29,1529
Colon and Rectum,21041-21052,Male,M,2016,Montana,30,273
Colon and Rectum,21041-21052,Male,M,2016,Nebraska,31,497
Colon and Rectum,21041-21052,Male,M,2016,Nevada,32,671
Colon and Rectum,21041-21052,Male,M,2016,New Hampshire,33,354
Colon and Rectum,21041-21052,Male,M,2016,New Jersey,34,2248
Colon and Rectum,21041-21052,Male,M,2016,New Mexico,35,472
Colon and Rectum,21041-21052,Male,M,2016,New York,36,4693
Colon and Rectum,21041-21052,Male,M,2016,North Carolina,37,2363
Colon and Rectum,21041-21052,Male,M,2016,North Dakota,38,191
Colon and Rectum,21041-21052,Male,M,2016,Ohio,39,3019
Colon and Rectum,21041-21052,Male,M,2016,Oklahoma,40,1055
Colon and Rectum,21041-21052,Male,M,2016,Oregon,41,864
Colon and Rectum,21041-21052,Male,M,2016,Pennsylvania,42,3516
Colon and Rectum,21041-21052,Male,M,2016,Rhode Island,44,200
Colon and Rectum,21041-21052,Male,M,2016,South Carolina,45,1242
Colon and Rectum,21041-21052,Male,M,2016,South Dakota,46,221
Colon and Rectum,21041-21052,Male,M,2016,Tennessee,47,1707
Colon and Rectum,21041-21052,Male,M,2016,Texas,48,5624
Colon and Rectum,21041-21052,Male,M,2016,Utah,49,409
Colon and Rectum,21041-21052,Male,M,2016,Vermont,50,146
Colon and Rectum,21041-21052,Male,M,2016,Virginia,51,1746
Colon and Rectum,21041-21052,Male,M,2016,Washington,53,1563
Colon and Rectum,21041-21052,Male,M,2016,West Virginia,54,592
Colon and Rectum,21041-21052,Male,M,2016,Wisconsin,55,1430
Colon and Rectum,21041-21052,Male,M,2016,Wyoming,56,117
Colon and Rectum,21041-21052,Male,M,2017,Alabama,1,1376
Colon and Rectum,21041-21052,Male,M,2017,Alaska,2,185
Colon and Rectum,21041-21052,Male,M,2017,Arizona,4,1503
Colon and Rectum,21041-21052,Male,M,2017,Arkansas,5,824
Colon and Rectum,21041-21052,Male,M,2017,California,6,7708
Colon and Rectum,21041-21052,Male,M,2017,Colorado,8,1072
Colon and Rectum,21041-21052,Male,M,2017,Connecticut,9,788
Colon and Rectum,21041-21052,Male,M,2017,Delaware,10,249
Colon and Rectum,21041-21052,Male,M,2017,District of Columbia,11,114
Colon and Rectum,21041-21052,Male,M,2017,Florida,12,5593
Colon and Rectum,21041-21052,Male,M,2017,Georgia,13,2382
Colon and Rectum,21041-21052,Male,M,2017,Hawaii,15,381
Colon and Rectum,21041-21052,Male,M,2017,Idaho,16,357
Colon and Rectum,21041-21052,Male,M,2017,Illinois,17,3246
Colon and Rectum,21041-21052,Male,M,2017,Indiana,18,1788
Colon and Rectum,21041-21052,Male,M,2017,Iowa,19,812
Colon and Rectum,21041-21052,Male,M,2017,Kansas,20,719
Colon and Rectum,21041-21052,Male,M,2017,Kentucky,21,1329
Colon and Rectum,21041-21052,Male,M,2017,Louisiana,22,1304
Colon and Rectum,21041-21052,Male,M,2017,Maine,23,333
Colon and Rectum,21041-21052,Male,M,2017,Maryland,24,1329
Colon and Rectum,21041-21052,Male,M,2017,Massachusetts,25,1459
Colon and Rectum,21041-21052,Male,M,2017,Michigan,26,2478
Colon and Rectum,21041-21052,Male,M,2017,Minnesota,27,1328
Colon and Rectum,21041-21052,Male,M,2017,Mississippi,28,892
Colon and Rectum,21041-21052,Male,M,2017,Missouri,29,1530
Colon and Rectum,21041-21052,Male,M,2017,Montana,30,295
Colon and Rectum,21041-21052,Male,M,2017,Nebraska,31,464
Colon and Rectum,21041-21052,Male,M,2017,Nevada,32,642
Colon and Rectum,21041-21052,Male,M,2017,New Hampshire,33,340
Colon and Rectum,21041-21052,Male,M,2017,New Jersey,34,2232
Colon and Rectum,21041-21052,Male,M,2017,New Mexico,35,438
Colon and Rectum,21041-21052,Male,M,2017,New York,36,4664
Colon and Rectum,21041-21052,Male,M,2017,North Carolina,37,2298
Colon and Rectum,21041-21052,Male,M,2017,North Dakota,38,176
Colon and Rectum,21041-21052,Male,M,2017,Ohio,39,3041
Colon and Rectum,21041-21052,Male,M,2017,Oklahoma,40,991
Colon and Rectum,21041-21052,Male,M,2017,Oregon,41,994
Colon and Rectum,21041-21052,Male,M,2017,Pennsylvania,42,3383
Colon and Rectum,21041-21052,Male,M,2017,Rhode Island,44,229
Colon and Rectum,21041-21052,Male,M,2017,South Carolina,45,1154
Colon and Rectum,21041-21052,Male,M,2017,South Dakota,46,231
Colon and Rectum,21041-21052,Male,M,2017,Tennessee,47,1730
Colon and Rectum,21041-21052,Male,M,2017,Texas,48,6053
Colon and Rectum,21041-21052,Male,M,2017,Utah,49,417
Colon and Rectum,21041-21052,Male,M,2017,Vermont,50,160
Colon and Rectum,21041-21052,Male,M,2017,Virginia,51,1776
Colon and Rectum,21041-21052,Male,M,2017,Washington,53,1539
Colon and Rectum,21041-21052,Male,M,2017,West Virginia,54,649
Colon and Rectum,21041-21052,Male,M,2017,Wisconsin,55,1309
Colon and Rectum,21041-21052,Male,M,2017,Wyoming,56,130
Colon and Rectum,21041-21052,Male,M,2018,Alabama,1,1300
Colon and Rectum,21041-21052,Male,M,2018,Alaska,2,166
Colon and Rectum,21041-21052,Male,M,2018,Arizona,4,1589
Colon and Rectum,21041-21052,Male,M,2018,Arkansas,5,816
Colon and Rectum,21041-21052,Male,M,2018,California,6,7966
Colon and Rectum,21041-21052,Male,M,2018,Colorado,8,1048
Colon and Rectum,21041-21052,Male,M,2018,Connecticut,9,834
Colon and Rectum,21041-21052,Male,M,2018,Delaware,10,216
Colon and Rectum,21041-21052,Male,M,2018,District of Columbia,11,139
Colon and Rectum,21041-21052,Male,M,2018,Florida,12,5657
Colon and Rectum,21041-21052,Male,M,2018,Georgia,13,2485
Colon and Rectum,21041-21052,Male,M,2018,Hawaii,15,393
Colon and Rectum,21041-21052,Male,M,2018,Idaho,16,400
Colon and Rectum,21041-21052,Male,M,2018,Illinois,17,3240
Colon and Rectum,21041-21052,Male,M,2018,Indiana,18,1718
Colon and Rectum,21041-21052,Male,M,2018,Iowa,19,805
Colon and Rectum,21041-21052,Male,M,2018,Kansas,20,723
Colon and Rectum,21041-21052,Male,M,2018,Kentucky,21,1410
Colon and Rectum,21041-21052,Male,M,2018,Louisiana,22,1266
Colon and Rectum,21041-21052,Male,M,2018,Maine,23,338
Colon and Rectum,21041-21052,Male,M,2018,Maryland,24,1349
Colon and Rectum,21041-21052,Male,M,2018,Massachusetts,25,1427
Colon and Rectum,21041-21052,Male,M,2018,Michigan,26,2350
Colon and Rectum,21041-21052,Male,M,2018,Minnesota,27,1315
Colon and Rectum,21041-21052,Male,M,2018,Mississippi,28,949
Colon and Rectum,21041-21052,Male,M,2018,Missouri,29,1598
Colon and Rectum,21041-21052,Male,M,2018,Montana,30,273
Colon and Rectum,21041-21052,Male,M,2018,Nebraska,31,500
Colon and Rectum,21041-21052,Male,M,2018,Nevada,32,706
Colon and Rectum,21041-21052,Male,M,2018,New Hampshire,33,351
Colon and Rectum,21041-21052,Male,M,2018,New Jersey,34,2128
Colon and Rectum,21041-21052,Male,M,2018,New Mexico,35,481
Colon and Rectum,21041-21052,Male,M,2018,New York,36,4578
Colon and Rectum,21041-21052,Male,M,2018,North Carolina,37,2385
Colon and Rectum,21041-21052,Male,M,2018,North Dakota,38,191
Colon and Rectum,21041-21052,Male,M,2018,Ohio,39,3137
Colon and Rectum,21041-21052,Male,M,2018,Oklahoma,40,1007
Colon and Rectum,21041-21052,Male,M,2018,Oregon,41,882
Colon and Rectum,21041-21052,Male,M,2018,Pennsylvania,42,3322
Colon and Rectum,21041-21052,Male,M,2018,Rhode Island,44,253
Colon and Rectum,21041-21052,Male,M,2018,South Carolina,45,1249
Colon and Rectum,21041-21052,Male,M,2018,South Dakota,46,231
Colon and Rectum,21041-21052,Male,M,2018,Tennessee,47,1753
Colon and Rectum,21041-21052,Male,M,2018,Texas,48,6445
Colon and Rectum,21041-21052,Male,M,2018,Utah,49,438
Colon and Rectum,21041-21052,Male,M,2018,Vermont,50,153
Colon and Rectum,21041-21052,Male,M,2018,Virginia,51,1853
Colon and Rectum,21041-21052,Male,M,2018,Washington,53,1562
Colon and Rectum,21041-21052,Male,M,2018,West Virginia,54,583
Colon and Rectum,21041-21052,Male,M,2018,Wisconsin,55,1338
Colon and Rectum,21041-21052,Male,M,2018,Wyoming,56,130
Colon and Rectum,21041-21052,Male,M,2019,Alabama,1,1363
Colon and Rectum,21041-21052,Male,M,2019,Alaska,2,162
Colon and Rectum,21041-21052,Male,M,2019,Arizona,4,1537
Colon and Rectum,21041-21052,Male,M,2019,Arkansas,5,910
Colon and Rectum,21041-21052,Male,M,2019,California,6,8106
Colon and Rectum,21041-21052,Male,M,2019,Colorado,8,1057
Colon and Rectum,21041-21052,Male,M,2019,Connecticut,9,834
Colon and Rectum,21041-21052,Male,M,2019,Delaware,10,240
Colon and Rectum,21041-21052,Male,M,2019,District of Columbia,11,128
Colon and Rectum,21041-21052,Male,M,2019,Florida,12,5817
Colon and Rectum,21041-21052,Male,M,2019,Georgia,13,2558
Colon and Rectum,21041-21052,Male,M,2019,Hawaii,15,395
Colon and Rectum,21041-21052,Male,M,2019,Idaho,16,389
Colon and Rectum,21041-21052,Male,M,2019,Illinois,17,3200
Colon and Rectum,21041-21052,Male,M,2019,Indiana,18,1594
Colon and Rectum,21041-21052,Male,M,2019,Iowa,19,846
Colon and Rectum,21041-21052,Male,M,2019,Kansas,20,755
Colon and Rectum,21041-21052,Male,M,2019,Kentucky,21,1407
Colon and Rectum,21041-21052,Male,M,2019,Louisiana,22,1416
Colon and Rectum,21041-21052,Male,M,2019,Maine,23,350
Colon and Rectum,21041-21052,Male,M,2019,Maryland,24,1337
Colon and Rectum,21041-21052,Male,M,2019,Massachusetts,25,1439
Colon and Rectum,21041-21052,Male,M,2019,Michigan,26,2464
Colon and Rectum,21041-21052,Male,M,2019,Minnesota,27,1277
Colon and Rectum,21041-21052,Male,M,2019,Mississippi,28,911
Colon and Rectum,21041-21052,Male,M,2019,Missouri,29,1515
Colon and Rectum,21041-21052,Male,M,2019,Montana,30,272
Colon and Rectum,21041-21052,Male,M,2019,Nebraska,31,464
Colon and Rectum,21041-21052,Male,M,2019,Nevada,32,648
Colon and Rectum,21041-21052,Male,M,2019,New Hampshire,33,337
Colon and Rectum,21041-21052,Male,M,2019,New Jersey,34,2360
Colon and Rectum,21041-21052,Male,M,2019,New Mexico,35,464
Colon and Rectum,21041-21052,Male,M,2019,New York,36,4708
Colon and Rectum,21041-21052,Male,M,2019,North Carolina,37,2356
Colon and Rectum,21041-21052,Male,M,2019,North Dakota,38,177
Colon and Rectum,21041-21052,Male,M,2019,Ohio,39,3067
Colon and Rectum,21041-21052,Male,M,2019,Oklahoma,40,986
Colon and Rectum,21041-21052,Male,M,2019,Oregon,41,952
Colon and Rectum,21041-21052,Male,M,2019,Pennsylvania,42,3498
Colon and Rectum,21041-21052,Male,M,2019,Rhode Island,44,228
Colon and Rectum,21041-21052,Male,M,2019,South Carolina,45,1280
Colon and Rectum,21041-21052,Male,M,2019,South Dakota,46,236
Colon and Rectum,21041-21052,Male,M,2019,Tennessee,47,1724
Colon and Rectum,21041-21052,Male,M,2019,Texas,48,6333
Colon and Rectum,21041-21052,Male,M,2019,Utah,49,435
Colon and Rectum,21041-21052,Male,M,2019,Vermont,50,175
Colon and Rectum,21041-21052,Male,M,2019,Virginia,51,1847
Colon and Rectum,21041-21052,Male,M,2019,Washington,53,1670
Colon and Rectum,21041-21052,Male,M,2019,West Virginia,54,583
Colon and Rectum,21041-21052,Male,M,2019,Wisconsin,55,1419
Colon and Rectum,21041-21052,Male,M,2019,Wyoming,56,151
Colon and Rectum,21041-21052,Male,M,2020,Alabama,1,1185
Colon and Rectum,21041-21052,Male,M,2020,Alaska,2,169
Colon and Rectum,21041-21052,Male,M,2020,Arizona,4,1408
Colon and Rectum,21041-21052,Male,M,2020,Arkansas,5,712
Colon and Rectum,21041-21052,Male,M,2020,California,6,7098
Colon and Rectum,21041-21052,Male,M,2020,Colorado,8,974
Colon and Rectum,21041-21052,Male,M,2020,Connecticut,9,711
Colon and Rectum,21041-21052,Male,M,2020,Delaware,10,200
Colon and Rectum,21041-21052,Male,M,2020,District of Columbia,11,107
Colon and Rectum,21041-21052,Male,M,2020,Florida,12,5518
Colon and Rectum,21041-21052,Male,M,2020,Georgia,13,2314
Colon and Rectum,21041-21052,Male,M,2020,Hawaii,15,361
Colon and Rectum,21041-21052,Male,M,2020,Idaho,16,387
Colon and Rectum,21041-21052,Male,M,2020,Illinois,17,2897
Colon and Rectum,21041-21052,Male,M,2020,Iowa,19,735
Colon and Rectum,21041-21052,Male,M,2020,Kansas,20,639
Colon and Rectum,21041-21052,Male,M,2020,Kentucky,21,1281
Colon and Rectum,21041-21052,Male,M,2020,Louisiana,22,1217
Colon and Rectum,21041-21052,Male,M,2020,Maine,23,340
Colon and Rectum,21041-21052,Male,M,2020,Maryland,24,1165
Colon and Rectum,21041-21052,Male,M,2020,Massachusetts,25,1256
Colon and Rectum,21041-21052,Male,M,2020,Michigan,26,2022
Colon and Rectum,21041-21052,Male,M,2020,Minnesota,27,1172
Colon and Rectum,21041-21052,Male,M,2020,Mississippi,28,791
Colon and Rectum,21041-21052,Male,M,2020,Missouri,29,1418
Colon and Rectum,21041-21052,Male,M,2020,Montana,30,283
Colon and Rectum,21041-21052,Male,M,2020,Nebraska,31,416
Colon and Rectum,21041-21052,Male,M,2020,Nevada,32,692
Colon and Rectum,21041-21052,Male,M,2020,New Hampshire,33,271
Colon and Rectum,21041-21052,Male,M,2020,New Jersey,34,2006
Colon and Rectum,21041-21052,Male,M,2020,New Mexico,35,442
Colon and Rectum,21041-21052,Male,M,2020,New York,36,4242
Colon and Rectum,21041-21052,Male,M,2020,North Carolina,37,2107
Colon and Rectum,21041-21052,Male,M,2020,North Dakota,38,172
Colon and Rectum,21041-21052,Male,M,2020,Ohio,39,2799
Colon and Rectum,21041-21052,Male,M,2020,Oklahoma,40,900
Colon and Rectum,21041-21052,Male,M,2020,Oregon,41,812
Colon and Rectum,21041-21052,Male,M,2020,Pennsylvania,42,3061
Colon and Rectum,21041-21052,Male,M,2020,Rhode Island,44,195
Colon and Rectum,21041-21052,Male,M,2020,South Carolina,45,1144
Colon and Rectum,21041-21052,Male,M,2020,South Dakota,46,202
Colon and Rectum,21041-21052,Male,M,2020,Tennessee,47,1701
Colon and Rectum,21041-21052,Male,M,2020,Texas,48,5775
Colon and Rectum,21041-21052,Male,M,2020,Utah,49,434
Colon and Rectum,21041-21052,Male,M,2020,Vermont,50,140
Colon and Rectum,21041-21052,Male,M,2020,Virginia,51,1632
Colon and Rectum,21041-21052,Male,M,2020,Washington,53,1441
Colon and Rectum,21041-21052,Male,M,2020,West Virginia,54,548
Colon and Rectum,21041-21052,Male,M,2020,Wisconsin,55,1156
Colon and Rectum,21041-21052,Male,M,2020,Wyoming,56,139
Colon and Rectum,21041-21052,Male,M,2021,Alabama,1,1315
Colon and Rectum,21041-21052,Male,M,2021,Alaska,2,157
Colon and Rectum,21041-21052,Male,M,2021,Arizona,4,1474
Colon and Rectum,21041-21052,Male,M,2021,Arkansas,5,745
Colon and Rectum,21041-21052,Male,M,2021,California,6,7967
Colon and Rectum,21041-21052,Male,M,2021,Colorado,8,1050
Colon and Rectum,21041-21052,Male,M,2021,Connecticut,9,811
Colon and Rectum,21041-21052,Male,M,2021,Delaware,10,221
Colon and Rectum,21041-21052,Male,M,2021,District of Columbia,11,125
Colon and Rectum,21041-21052,Male,M,2021,Florida,12,5867
Colon and Rectum,21041-21052,Male,M,2021,Georgia,13,2602
Colon and Rectum,21041-21052,Male,M,2021,Hawaii,15,426
Colon and Rectum,21041-21052,Male,M,2021,Idaho,16,444
Colon and Rectum,21041-21052,Male,M,2021,Illinois,17,3146
Colon and Rectum,21041-21052,Male,M,2021,Iowa,19,797
Colon and Rectum,21041-21052,Male,M,2021,Kansas,20,667
Colon and Rectum,21041-21052,Male,M,2021,Kentucky,21,1326
Colon and Rectum,21041-21052,Male,M,2021,Louisiana,22,1282
Colon and Rectum,21041-21052,Male,M,2021,Maine,23,358
Colon and Rectum,21041-21052,Male,M,2021,Maryland,24,1304
Colon and Rectum,21041-21052,Male,M,2021,Massachusetts,25,1313
Colon and Rectum,21041-21052,Male,M,2021,Michigan,26,2264
Colon and Rectum,21041-21052,Male,M,2021,Minnesota,27,1299
Colon and Rectum,21041-21052,Male,M,2021,Mississippi,28,859
Colon and Rectum,21041-21052,Male,M,2021,Missouri,29,1670
Colon and Rectum,21041-21052,Male,M,2021,Montana,30,304
Colon and Rectum,21041-21052,Male,M,2021,Nebraska,31,462
Colon and Rectum,21041-21052,Male,M,2021,Nevada,32,669
Colon and Rectum,21041-21052,Male,M,2021,New Hampshire,33,329
Colon and Rectum,21041-21052,Male,M,2021,New Jersey,34,2375
Colon and Rectum,21041-21052,Male,M,2021,New Mexico,35,441
Colon and Rectum,21041-21052,Male,M,2021,New York,36,4679
Colon and Rectum,21041-21052,Male,M,2021,North Carolina,37,2310
Colon and Rectum,21041-21052,Male,M,2021,North Dakota,38,182
Colon and Rectum,21041-21052,Male,M,2021,Ohio,39,2962
Colon and Rectum,21041-21052,Male,M,2021,Oklahoma,40,1062
Colon and Rectum,21041-21052,Male,M,2021,Oregon,41,815
Colon and Rectum,21041-21052,Male,M,2021,Pennsylvania,42,3130
Colon and Rectum,21041-21052,Male,M,2021,Rhode Island,44,231
Colon and Rectum,21041-21052,Male,M,2021,South Carolina,45,1219
Colon and Rectum,21041-21052,Male,M,2021,South Dakota,46,191
Colon and Rectum,21041-21052,Male,M,2021,Tennessee,47,1627
Colon and Rectum,21041-21052,Male,M,2021,Texas,48,6422
Colon and Rectum,21041-21052,Male,M,2021,Utah,49,490
Colon and Rectum,21041-21052,Male,M,2021,Vermont,50,151
Colon and Rectum,21041-21052,Male,M,2021,Virginia,51,1764
Colon and Rectum,21041-21052,Male,M,2021,Washington,53,1633
Colon and Rectum,21041-21052,Male,M,2021,West Virginia,54,578
Colon and Rectum,21041-21052,Male,M,2021,Wisconsin,55,1385
Colon and Rectum,21041-21052,Male,M,2021,Wyoming,56,138
Corpus Uteri,27020,Female,F,1999,Alabama,1,426
Corpus Uteri,27020,Female,F,1999,Alaska,2,45
Corpus Uteri,27020,Female,F,1999,Arizona,4,460
Corpus Uteri,27020,Female,F,1999,Arkansas,5,264
Corpus Uteri,27020,Female,F,1999,California,6,3528
Corpus Uteri,27020,Female,F,1999,Colorado,8,391
Corpus Uteri,27020,Female,F,1999,Connecticut,9,543
Corpus Uteri,27020,Female,F,1999,Delaware,10,111
Corpus Uteri,27020,Female,F,1999,District of Columbia,11,57
Corpus Uteri,27020,Female,F,1999,Florida,12,2175
Corpus Uteri,27020,Female,F,1999,Georgia,13,696
Corpus Uteri,27020,Female,F,1999,Hawaii,15,172
Corpus Uteri,27020,Female,F,1999,Idaho,16,147
Corpus Uteri,27020,Female,F,1999,Illinois,17,1565
Corpus Uteri,27020,Female,F,1999,Indiana,18,821
Corpus Uteri,27020,Female,F,1999,Iowa,19,482
Corpus Uteri,27020,Female,F,1999,Kansas,20,377
Corpus Uteri,27020,Female,F,1999,Kentucky,21,418
Corpus Uteri,27020,Female,F,1999,Louisiana,22,380
Corpus Uteri,27020,Female,F,1999,Maine,23,205
Corpus Uteri,27020,Female,F,1999,Maryland,24,630
Corpus Uteri,27020,Female,F,1999,Massachusetts,25,985
Corpus Uteri,27020,Female,F,1999,Michigan,26,1414
Corpus Uteri,27020,Female,F,1999,Minnesota,27,656
Corpus Uteri,27020,Female,F,1999,Missouri,29,792
Corpus Uteri,27020,Female,F,1999,Montana,30,102
Corpus Uteri,27020,Female,F,1999,Nebraska,31,261
Corpus Uteri,27020,Female,F,1999,Nevada,32,147
Corpus Uteri,27020,Female,F,1999,New Hampshire,33,156
Corpus Uteri,27020,Female,F,1999,New Jersey,34,1367
Corpus Uteri,27020,Female,F,1999,New Mexico,35,173
Corpus Uteri,27020,Female,F,1999,New York,36,2789
Corpus Uteri,27020,Female,F,1999,North Carolina,37,854
Corpus Uteri,27020,Female,F,1999,North Dakota,38,89
Corpus Uteri,27020,Female,F,1999,Ohio,39,1680
Corpus Uteri,27020,Female,F,1999,Oklahoma,40,367
Corpus Uteri,27020,Female,F,1999,Oregon,41,459
Corpus Uteri,27020,Female,F,1999,Pennsylvania,42,2242
Corpus Uteri,27020,Female,F,1999,Rhode Island,44,163
Corpus Uteri,27020,Female,F,1999,South Carolina,45,405
Corpus Uteri,27020,Female,F,1999,Tennessee,47,531
Corpus Uteri,27020,Female,F,1999,Texas,48,1655
Corpus Uteri,27020,Female,F,1999,Utah,49,208
Corpus Uteri,27020,Female,F,1999,Vermont,50,120
Corpus Uteri,27020,Female,F,1999,Virginia,51,768
Corpus Uteri,27020,Female,F,1999,Washington,53,783
Corpus Uteri,27020,Female,F,1999,West Virginia,54,296
Corpus Uteri,27020,Female,F,1999,Wisconsin,55,754
Corpus Uteri,27020,Female,F,1999,Wyoming,56,40
Corpus Uteri,27020,Female,F,2000,Alabama,1,420
Corpus Uteri,27020,Female,F,2000,Alaska,2,49
Corpus Uteri,27020,Female,F,2000,Arizona,4,500
Corpus Uteri,27020,Female,F,2000,Arkansas,5,274
Corpus Uteri,27020,Female,F,2000,California,6,3543
Corpus Uteri,27020,Female,F,2000,Colorado,8,374
Corpus Uteri,27020,Female,F,2000,Connecticut,9,575
